This model is a 3D, clear morning spectrum post-processed with the Kempton group's RT code.
It includes H2O, CO2, CIA, and scattering opacity, pulling profiles from a Maria Z. chemical eq. GCM on alt levels.
Wavelength Depth
0.5202285 2.085086
0.5204019000000001 2.085244
0.5205753999999999 2.085153
0.5207489 2.084903
0.5209225000000001 2.084922
0.5210961000000001 2.084796
0.5212698 2.084919
0.5214436 2.084657
0.5216174 2.085025
0.5217913000000001 2.084403
0.5219652 2.084862
0.5221392 2.084271
0.5223132 2.084353
0.5224873 2.084336
0.5226615 2.084285
0.5228357 2.084557
0.52301 2.084073
0.5231843 2.084255
0.5233587000000001 2.084119
0.5235332 2.083711
0.5237077 2.085057
0.5238823 2.084369
0.5240569 2.083544
0.5242315999999999 2.083703
0.5244063 2.083567
0.5245811 2.085142
0.524756 2.083492
0.5249309 2.083878
0.5251059 2.083354
0.5252809 2.084068
0.525456 2.083157
0.5256312 2.088426
0.5258064 2.083614
0.5259815999999999 2.08355
0.526157 2.082871
0.5263324 2.082881
0.5265078 2.084692
0.5266833 2.083044
0.5268589 2.083345
0.5270345 2.082707
0.5272102 2.082926
0.5273859 2.082791
0.5275617 2.082463
0.5277375999999999 2.083295
0.5279135 2.082336
0.5280893999999999 2.08642
0.5282654999999999 2.083817
0.5284416000000001 2.082445
0.5286177000000001 2.083379
0.5287939 2.082785
0.5289702000000001 2.081775
0.5291465 2.082068
0.5293229 2.081881
0.5294993 2.083057
0.5296757999999999 2.081719
0.5298524 2.082138
0.530029 2.083386
0.5302057 2.08297
0.5303824 2.084109
0.5305592 2.082028
0.5307361 2.082528
0.530913 2.081358
0.5310899 2.087481
0.531267 2.081201
0.5314441 2.082037
0.5316211999999999 2.081098
0.5317984 2.08115
0.5319756999999999 2.082872
0.532153 2.080807
0.5323304 2.080561
0.5325078 2.082928
0.5326853 2.080875
0.5328629 2.081802
0.5330405 2.082101
0.5332182 2.08109
0.5333959 2.081742
0.5335736999999999 2.080253
0.5337516 2.079938
0.5339295 2.079813
0.5341075 2.081161
0.5342855000000001 2.083285
0.5344636 2.080302
0.5346418000000001 2.080276
0.53482 2.079891
0.5349983 2.082018
0.5351766 2.079903
0.535355 2.079853
0.5355334 2.080957
0.5357119 2.079336
0.5358904999999999 2.079659
0.5360691 2.08002
0.5362478 2.079984
0.5364266 2.079874
0.5366054 2.078956
0.5367843 2.079051
0.5369632 2.081934
0.5371422 2.080064
0.5373211999999999 2.079957
0.5375002999999999 2.082326
0.5376795 2.079097
0.5378587 2.080832
0.538038 2.084529
0.5382174 2.084089
0.5383968 2.080411
0.5385762 2.078425
0.5387558 2.078061
0.5389353 2.095497
0.539115 2.07978
0.5392947 2.07955
0.5394745 2.078683
0.5396543 2.080792
0.5398341999999999 2.078608
0.5400141 2.077924
0.5401941 2.096496
0.5403741999999999 2.078233
0.5405542999999999 2.077793
0.5407345 2.081442
0.5409147000000001 2.077473
