This model is a 3D, hazy evening spectrum post-processed with the Kempton group's RT code.
It includes H2O, CO2, CIA, and scattering opacity, pulling profiles from a Maria S. 30nm GCM.
Wavelength Depth
0.5219652 2.147329
0.5221392 2.147041
0.5223132 2.147069
0.5224873 2.147066
0.5226615 2.147053
0.5228357 2.147188
0.52301 2.146934
0.5231843 2.147001
0.5233587000000001 2.146966
0.5235332 2.146707
0.5237077 2.147497
0.5238823 2.147102
0.5240569 2.146595
0.5242315999999999 2.146712
0.5244063 2.14664
0.5245811 2.147515
0.524756 2.146612
0.5249309 2.14681
0.5251059 2.146533
0.5252809 2.146952
0.525456 2.146401
0.5256312 2.148846
0.5258064 2.146631
0.5259815999999999 2.146532
0.526157 2.146253
0.5263324 2.146281
0.5265078 2.147235
0.5266833 2.146394
0.5268589 2.146511
0.5270345 2.14609
0.5272102 2.146337
0.5273859 2.146154
0.5275617 2.146007
0.5277375999999999 2.146252
0.5279135 2.14594
0.5280893999999999 2.148129
0.5282654999999999 2.146895
0.5284416000000001 2.145992
0.5286177000000001 2.146292
0.5287939 2.146245
0.5289702000000001 2.145614
0.5291465 2.145778
0.5293229 2.145674
0.5294993 2.146326
0.5296757999999999 2.145594
0.5298524 2.14564
0.530029 2.146553
0.5302057 2.146043
0.5303824 2.146511
0.5305592 2.145674
0.5307361 2.146176
0.530913 2.14539
0.5310899 2.149021
0.531267 2.145207
0.5314441 2.145685
0.5316211999999999 2.145232
0.5317984 2.145169
0.5319756999999999 2.146413
0.532153 2.145065
0.5323304 2.144887
0.5325078 2.146183
0.5326853 2.145016
0.5328629 2.145454
0.5330405 2.145678
0.5332182 2.145119
0.5333959 2.145622
0.5335736999999999 2.14478
0.5337516 2.144535
0.5339295 2.14447
0.5341075 2.145067
0.5342855000000001 2.14591
0.5344636 2.144651
0.5346418000000001 2.144766
0.53482 2.14457
0.5349983 2.145919
0.5351766 2.144522
0.535355 2.144467
0.5355334 2.144957
0.5357119 2.144201
0.5358904999999999 2.144451
0.5360691 2.144504
0.5362478 2.144476
0.5364266 2.144299
0.5366054 2.144001
0.5367843 2.144068
0.5369632 2.145414
0.5371422 2.144649
0.5373211999999999 2.144472
0.5375002999999999 2.145913
0.5376795 2.144012
0.5378587 2.144577
0.538038 2.146467
0.5382174 2.146074
0.5383968 2.144794
0.5385762 2.14367
0.5387558 2.143469
0.5389353 2.150641
0.539115 2.144248
0.5392947 2.144132
0.5394745 2.143875
0.5396543 2.144606
0.5398341999999999 2.143638
0.5400141 2.143366
0.5401941 2.150499
0.5403741999999999 2.143475
0.5405542999999999 2.143331
0.5407345 2.145196
0.5409147000000001 2.143129
0.541095 2.14565
0.5412754000000001 2.144505
0.5414558 2.144031
0.5416363 2.143006
0.5418169 2.145831
0.5419975 2.144231
0.5421781 2.146903
0.5423589 2.142903
0.5425396 2.144912
0.5427205 2.143227
0.5429014 2.145343
0.5430824000000001 2.142711
0.5432634 2.143419
0.5434445 2.144168
0.5436255999999999 2.143801
0.5438068 2.145688
0.5439881000000001 2.14346
0.5441694 2.143075
0.5443507999999999 2.142501
0.5445323 2.150912
0.5447138 2.144698
0.5448954 2.14456
0.5450769999999999 2.146531
0.5452587 2.142954
0.5454404 2.142539
0.5456222 2.145074
0.5458041 2.14309
0.5459861 2.142684
0.5461680999999999 2.144959
0.5463501000000001 2.143022
0.5465322 2.143136
0.5467144 2.142759
0.5468966 2.145204
0.5470789 2.14275
0.5472613000000001 2.142063
0.5474437 2.143185
0.5476262000000001 2.142047
0.5478086999999999 2.142067
0.5479913 2.142113
0.548174 2.142284
